Parameters (in next line): Iterations|PreyReproductionRate|PreyVisionRadius|PreyMaxSpeed|PredatorReproductionRate|PredatorVisionRadius|PredatorMaxSpeed
100||1||8||0,5||1||15||0,6
Iteracion|InicialPresas|InicialPredadores
Iteracion|SupervivientesPresas|SupervivientesPredadores
0||500||15
0||284||15
1||426||22
1||228||22
2||342||33
2||147||33
3||220||49
3||97||44
4||145||66
4||71||45
5||106||67
5||52||38
6||78||57
6||39||30
7||58||45
7||31||21
8||46||31
8||26||16
9||39||24
9||23||14
10||34||21
10||18||13
11||27||19
11||14||12
12||21||18
12||12||8
13||18||12
13||10||6
14||15||9
14||9||6
15||13||9
15||7||6
16||10||9
16||6||3
17||9||4
17||7||2
18||10||3
18||8||2
19||12||3
19||11||1
