2021-06-09
Parameters (in next line): Iterations|PreyReproductionRate|PreyMaxSpeed|PreyVisionRadius|PredatorReproductionRate|PredatorMaxSpeed|PredatorVisionRadius|InitialPlants|GrowthRate
100||1|0.4|10||1|0.46|20|1000|1.2
Iteracion|InicialPresas|InicialPredadores|SupervivientesPresas|SupervivientesPredadores|Plantas|PlantasSupervivientes
0|50|5|48|5|1000|952
0|50|5|48|5|1000|952
0|50|5|45|5|1000|955
0|50|5|47|5|1000|953
0|50|5|48|5|1000|952
1|72|7|69|7|1142.4|1073.4
0|50|5|50|5|1000|950
0|50|5|46|5|1000|954
1|69|7|63|7|1144.8|1081.8
2|94|10|89|10|1298.16|1209.16
0|50|5|49|5|1000|951
0|50|5|50|5|1000|950
0|50|5|48|5|1000|952
0|50|5|47|5|1000|953
0|50|6|47|6|1000|953
0|50|6|48|6|1000|952
0|50|6|46|6|1000|954
1|69|9|65|9|1144.8|1079.8
2|97|13|95|13|1295.76|1200.76
3|142|15|137|15|1440.912|1303.912
0|50|6|48|6|1000|952
0|50|6|48|6|1000|952
0|50|6|47|6|1000|953
0|50|6|44|6|1000|956
0|50|6|49|6|1000|951
0|50|6|49|6|1000|951
0|50|6|50|6|1000|950
0|50|6|50|6|1000|950
0|50|6|48|6|1000|952
1|72|9|72|9|1142.4|1070.4
0|50|6|50|6|1000|950
0|50|6|50|6|1000|950
0|50|6|49|6|1000|951
1|73|6|71|6|1141.2|1070.2
0|50|6|50|6|1000|950
0|50|6|48|6|1000|952
0|50|6|50|6|1000|950
0|50|6|38|6|1000|962
